"lp.","imię i nazwisko","wykształcenie","lista","nr okręgu","miasto","głosy"
363,"Wojciech Szarama","wyższe","Prawo i Sprawiedliwość",29,"Katowice",12185
364,"Wiesław Szczepański","wyższe","Nowa Lewica",36,"Kalisz",13668
365,"Michał Szczerba","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",28653
366,"Krzysztof Szczucki","wyższe","Prawo i Sprawiedliwość",5,"Toruń",34014
367,"Józefa Szczurek-Żelazko","wyższe","Prawo i Sprawiedliwość",15,"Tarnów",26231
368,"Paweł Szefernaker","wyższe","Prawo i Sprawiedliwość",40,"Koszalin",29764
369,"Andrzej Szejna","wyższe","Nowa Lewica",33,"Kielce",17961
370,"Andrzej Szewiński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",28,"Częstochowa",10171
371,"Adam Szłapka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",39,"Poznań",149064
372,"Henryk Szopiński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",38,"Piła",8263
373,"Paweł Szrot","wyższe","Prawo i Sprawiedliwość",4,"Bydgoszcz",20214
374,"Krystyna Szumilas","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",29,"Katowice",50871
375,"Stanisław Szwed","wyższe","Prawo i Sprawiedliwość",27,"Bielsko-Biała",57055
376,"Ewa Szymanowska","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",9,"Łódź",26185
377,"Tomasz Szymański","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",5,"Toruń",17825
378,"Szymon Szynkowski vel Sęk","wyższe","Prawo i Sprawiedliwość",39,"Poznań",45167
379,"Łukasz Ściebiorowski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",31,"Katowice",7116
380,"Agnieszka Ścigaj","wyższe","Prawo i Sprawiedliwość",13,"Kraków",6262
381,"Andrzej Śliwka","wyższe","Prawo i Sprawiedliwość",34,"Elbląg",32895
382,"Paweł Śliz","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",12,"Kraków",19630
383,"Krzysztof Śmiszek","wyższe","Nowa Lewica",3,"Wrocław",34577
384,"Jacek Świat","wyższe","Prawo i Sprawiedliwość",3,"Wrocław",13663
